image_name,instruct,target_description,image_address,result_image_name,Type
alex-tyson-bfpxfdGoaqE-unsplash.jpg,Make the bowl on the top of the red bowl yellow,Photo of a yellow bowl,https://unsplash.com/photos/a-kitchen-with-white-cabinets-and-a-stove-bfpxfdGoaqE,alex-tyson-bfpxfdGoaqE-unsplash_Make_the_bowl_on_the_top_of_the_red_bowl_yellow.jpg,Relative Direction
alex-tyson-BHhw4NEnMAM-unsplash.jpg,The spoon on the right is made of green ceramic,Photo of a green ceramic spoon,https://unsplash.com/photos/a-table-with-a-bowl-of-fruit-and-a-cup-of-coffee-BHhw4NEnMAM,alex-tyson-BHhw4NEnMAM-unsplash_The_spoon_on_the_right_is_made_of_green_ceramic.jpg,Absolute Direction
alex-tyson-BkA4aYpnCFw-unsplash.jpg,Convert the potted plant on the top of the washing machine into a deer head mount.,Photo of a deer head mount,https://unsplash.com/photos/a-bathroom-with-a-washer-and-dryer-in-it-BkA4aYpnCFw,alex-tyson-BkA4aYpnCFw-unsplash_Convert_the_potted_plant_on_the_top_of_the_washing_machine_into_a_deer_head_mount.jpg,Relative Direction
alex-tyson-cJjLch4pUAs-unsplash.jpg,Color the flower on top of the candle yellow,Photo of a yellow flower,https://unsplash.com/photos/a-kitchen-with-white-cabinets-and-black-counter-tops-cJjLch4pUAs,alex-tyson-cJjLch4pUAs-unsplash_Color_the_flower_on_top_of_the_candle_yellow.jpg,Relative Direction
alex-tyson-E2Yw8mkynU4-unsplash.jpg,Turn the orange on the right into a red apple,Photo of a red apple,https://unsplash.com/photos/a-kitchen-with-white-cabinets-and-blue-walls-E2Yw8mkynU4,alex-tyson-E2Yw8mkynU4-unsplash_Turn_the_orange_on_the_right_into_a_red_apple.jpg,Absolute Direction
alex-tyson-gDeRYh2CKXA-unsplash.jpg,Make the pillow to the right of the bed orange,Photo of a orange pillow,https://unsplash.com/id/foto/kamar-tidur-dengan-tempat-tidur-besar-dan-jendela-gDeRYh2CKXA,alex-tyson-gDeRYh2CKXA-unsplash_Make_the_pillow_to_the_right_of_the_bed_orange.jpg,Relative Direction
alex-tyson-GqNj2imS-TM-unsplash.jpg,Convert the potted plant on the right into a cactus,Photo of a cactus,https://unsplash.com/photos/a-kitchen-with-a-wooden-table-and-a-microwave-GqNj2imS-TM,alex-tyson-GqNj2imS-TM-unsplash_Convert_the_potted_plant_on_the_right_into_a_cactus.jpg,Absolute Direction
alex-tyson-hkpPTuHPUPg-unsplash.jpg,Convert the potted plant on the top side of the bed into a lamp.,Photo of a lamp,https://unsplash.com/photos/a-bed-with-white-sheets-and-pillows-in-a-room-hkpPTuHPUPg,alex-tyson-hkpPTuHPUPg-unsplash_Add_a_dog_on_the_bottom_of_the_pillows.jpg,Relative Direction
alex-tyson-hkpPTuHPUPg-unsplash.jpg,Add a dog on the bottom of the pillows,Photo of a dog,https://unsplash.com/photos/a-bed-with-white-sheets-and-pillows-in-a-room-hkpPTuHPUPg,alex-tyson-hkpPTuHPUPg-unsplash_Convert_the_potted_plant_on_the_top_side_of_the_bed_into_a_lamp.jpg,Relative Direction
alex-tyson-krUIiXGFt1M-unsplash.jpg,Add a pair of shoes to the left of the chairs.,Photo of a pair of shoes,https://unsplash.com/photos/a-kitchen-with-a-table-and-chairs-next-to-a-window-krUIiXGFt1M,alex-tyson-krUIiXGFt1M-unsplash_Add_a_pair_of_shoes_to_the_left_of_the_chairs.jpg,Relative Direction
alex-tyson-NqLjnjwKqKA-unsplash.jpg,Turn the glass table on the right into a wooden table,Photo of a wooden table,https://unsplash.com/photos/a-living-room-filled-with-furniture-and-a-flat-screen-tv-NqLjnjwKqKA,alex-tyson-NqLjnjwKqKA-unsplash_Turn_the_glass_table_on_the_left_into_a_wooden_table.jpg,Absolute Direction
alex-tyson-NqLjnjwKqKA-unsplash.jpg,Turn the glass table on the left into a wooden table,Photo of a wooden table,https://unsplash.com/photos/a-living-room-filled-with-furniture-and-a-flat-screen-tv-NqLjnjwKqKA,alex-tyson-NqLjnjwKqKA-unsplash_Turn_the_glass_table_on_the_right_into_a_wooden_table.jpg,Absolute Direction
alex-tyson-ReQRcmSoKfQ-unsplash.jpg,Convert the plant above the faucet into a snake.,Photo of a snake,https://unsplash.com/photos/a-kitchen-with-white-cabinets-and-a-dishwasher-ReQRcmSoKfQ,alex-tyson-ReQRcmSoKfQ-unsplash_Convert_the_plant_above_the_faucet_into_a_snake.jpg,Relative Direction
alex-tyson-sl_2T-V5nvA-unsplash.jpg,Turn the black chairs into white chairs,Photo of white chairs,https://unsplash.com/photos/a-dining-room-table-with-chairs-and-a-vase-of-flowers-sl_2T-V5nvA,alex-tyson-sl_2T-V5nvA-unsplash_Turn_the_black_chairs_into_white_chairs.jpg,Neutral
alex-tyson-sl_2T-V5nvA-unsplash.jpg,Turn the vase on the top of the table into an hourglass,Photo of an hourglass,https://unsplash.com/photos/a-dining-room-table-with-chairs-and-a-vase-of-flowers-sl_2T-V5nvA,alex-tyson-sl_2T-V5nvA-unsplash_Turn_the_vase_on_the_top_of_the_table_into_an_hourglass.jpg,Relative Direction
alex-tyson-w6BHAit4zWI-unsplash.jpg,Remove the basket under the stairs,Photo of a clean wall,https://unsplash.com/id/foto/ruang-tamu-yang-dipenuhi-dengan-furnitur-dan-perapian-w6BHAit4zWI,alex-tyson-w6BHAit4zWI-unsplash_Remove_the_basket_under_the_stairs.jpg,Relative Direction
amir-hossein-bakhtiari-jfysfD4PpFk-unsplash.jpg,Give them eyeglasses.,Photo of them with eyeglasses,https://unsplash.com/ja/%E5%86%99%E7%9C%9F/%E6%9E%95%E3%81%AE%E4%B8%8A%E3%81%AB%E5%BA%A7%E3%82%8B%E5%AD%90%E7%8C%AB%E3%81%AE%E7%BE%A4%E3%82%8C-jfysfD4PpFk,amir-hossein-bakhtiari-jfysfD4PpFk-unsplash_Give_them_eyeglasses.jpg,Pronoun
amr-taha-0Bzhjozu6jQ-unsplash.jpg,Turn the speaker on the right into a trash can,Photo of a trash can,https://unsplash.com/photos/a-desk-with-a-computer-and-speakers-on-it-0Bzhjozu6jQ,amr-taha-0Bzhjozu6jQ-unsplash_Paint_the_speaker_on_the_left_orange.jpg,Absolute Direction
amr-taha-0Bzhjozu6jQ-unsplash.jpg,Paint the speaker on the left orange.,Photo of an orange speaker,https://unsplash.com/photos/a-desk-with-a-computer-and-speakers-on-it-0Bzhjozu6jQ,amr-taha-0Bzhjozu6jQ-unsplash_Turn_the_speaker_on_the_right_into_a_trash_can.jpg,Absolute Direction
ana-curcan-aq5WMEeF96c-unsplash.jpg,Paint the butterfly on the right into blue,Photo of a blue butterfly,https://unsplash.com/photos/a-butterfly-sitting-on-top-of-an-orange-slice-aq5WMEeF96c,ana-curcan-aq5WMEeF96c-unsplash_Paint_the_butterfly_on_the_right_into_blue.jpg,Absolute Direction
andrea-stuart-JlvQEmdEJsM-unsplash.jpg,Add a coffee cup to the left of the book.,Photo of a coffee cup,https://unsplash.com/photos/a-minimalist-desk-setup-with-coastal-decorations-JlvQEmdEJsM,andrea-stuart-JlvQEmdEJsM-unsplash_Add_a_coffee_cup_to_the_left_of_the_book.jpg,Relative Direction
andrew-peluso-cmzNcBE1ano-unsplash.jpg,make them wear green,Photo of them wear green,https://unsplash.com/photos/a-group-of-people-standing-on-top-of-a-rock-cmzNcBE1ano,andrew-peluso-cmzNcBE1ano-unsplash_make_them_wear_green.jpg,Pronoun
annie-spratt-nVw8006eWsw-unsplash.jpg,Turn the camera on the left of the candle into a harmonica,Photo of a harmonica,https://unsplash.com/photos/a-couple-of-shelves-that-have-some-pictures-on-them-nVw8006eWsw,annie-spratt-nVw8006eWsw-unsplash_make_the_cameras_on_the_bottom_shelf_out_of_gold.jpg,Absolute Direction
annie-spratt-nVw8006eWsw-unsplash.jpg,make the cameras on the bottom shelf out of gold,Photo of golden cameras,https://unsplash.com/photos/a-couple-of-shelves-that-have-some-pictures-on-them-nVw8006eWsw,annie-spratt-nVw8006eWsw-unsplash_Turn_the_camera_on_the_left_into_a_bowl.jpg,Absolute Direction
annie-spratt-nVw8006eWsw-unsplash.jpg,Turn the camera on the left into a bowl,Photo of a bowl,https://unsplash.com/photos/a-couple-of-shelves-that-have-some-pictures-on-them-nVw8006eWsw,annie-spratt-nVw8006eWsw-unsplash_Turn_the_camera_on_the_left_of_the_candle_into_a_harmonica.jpg,Relative Direction
annie-spratt-PcS2mgh_hUA-unsplash.jpg,Make the blue paintings green.,Photo of a green painting,https://unsplash.com/photos/brown-table-lamp-near-green-plants-PcS2mgh_hUA,annie-spratt-PcS2mgh_hUA-unsplash_Make_the_blue_paintings_green.jpg,Neutral
annie-spratt-PcS2mgh_hUA-unsplash.jpg,Remove the blue painting above the bag,Photo of a clean wall,https://unsplash.com/photos/brown-table-lamp-near-green-plants-PcS2mgh_hUA,annie-spratt-PcS2mgh_hUA-unsplash_Remove_the_blue_painting_above_the_bag.jpg,Relative Direction
austrian-national-library-r4v18AhK8gw-unsplash.jpg,remove the left ski pole,Photo of the empty space,https://unsplash.com/photos/greyscale-photography-of-woman-using-snowboard-r4v18AhK8gw,austrian-national-library-r4v18AhK8gw-unsplash_remove_the_left_ski_pole.jpg,Absolute Direction
avi-waxman-9T0vISZehUY-unsplash.jpg,make them black,Photo of the them in black color,https://unsplash.com/photos/brown-wooden-framed-yellow-padded-chair-9T0vISZehUY,avi-waxman-9T0vISZehUY-unsplash_make_them_black.jpg,Pronoun
barcs-tamas-sm8_jxQ5HbM-unsplash.jpg,make them gray,Photo of them in gray color,https://unsplash.com/photos/two-white-polar-bears-sitting-in-the-snow-sm8_jxQ5HbM,barcs-tamas-sm8_jxQ5HbM-unsplash_make_them_gray.jpg,Pronoun
blake-wisz-urnQ0fO7hZo-unsplash.jpg,make him wear red,Photo of him,https://unsplash.com/photos/woman-in-black-crew-neck-t-shirt-and-blue-denim-shorts-standing-beside-woman-in-white-urnQ0fO7hZo,blake-wisz-urnQ0fO7hZo-unsplash_make_him_wear_red.jpg,Pronoun
bonnie-kittle-GiIZSko7Guk-unsplash.jpg,Color the curtain on the left pink,Photo of pink curtain,https://unsplash.com/photos/woman-using-computer-sitting-on-black-chair-GiIZSko7Guk,bonnie-kittle-GiIZSko7Guk-unsplash_Color_the_curtain_on_the_left_pink.jpg,Absolute Direction
bonnie-kittle-GiIZSko7Guk-unsplash.jpg,Color the curtain on the right pink,Photo of pink curtain,https://unsplash.com/photos/woman-using-computer-sitting-on-black-chair-GiIZSko7Guk,bonnie-kittle-GiIZSko7Guk-unsplash_Color_the_curtain_on_the_right_pink.jpg,Relative Direction
brooke-balentine-fhnfH6C8gGo-unsplash.jpg,Give him a coat,Photo of him with coat,https://unsplash.com/photos/happy-family-with-two-young-children-posing-together-fhnfH6C8gGo,brooke-balentine-fhnfH6C8gGo-unsplash_Give_him_a_coat.jpg,Pronoun
brooke-lark-AdMHAf_cdns-unsplash.jpg,Make the plate on the top blue,Photo of a blue plate,https://unsplash.com/photos/three-assorted-cameras-near-fruits-and-ceramic-figurines-AdMHAf_cdns,brooke-lark-AdMHAf_cdns-unsplash_Change_the_camera_on_the_top_to_a_black_teddy_bear.jpg,Absolute Direction
brooke-lark-AdMHAf_cdns-unsplash.jpg,Change the camera on the top to a black teddy bear,Photo of a black teddy bear,https://unsplash.com/photos/three-assorted-cameras-near-fruits-and-ceramic-figurines-AdMHAf_cdns,brooke-lark-AdMHAf_cdns-unsplash_Make_the_plate_on_the_top_blue.jpg,Absolute Direction
bruce-warrington-WSAOGHKEqFc-unsplash.jpg,turn them into cats,Photo of cats,https://unsplash.com/photos/shallow-focus-photo-of-dogs-on-tree-log-WSAOGHKEqFc,bruce-warrington-WSAOGHKEqFc-unsplash_turn_them_into_cats.jpg,Pronoun
bry-sparkman-LNZcsFkRfJM-unsplash.jpg,Change the white balloon to a red balloon,Photo of a red balloon,Photo Bry Sparkman by on Unsplash or (https://www.pinterest.com/pin/566890671867161443/),bry-sparkman-LNZcsFkRfJM-unsplash_Change_the_balloon_on_the_top_to_a_white_balloon.jpg,Absolute Direction
bry-sparkman-LNZcsFkRfJM-unsplash.jpg,Change the balloon on the top to a white balloon,Photo of a white balloon,Photo Bry Sparkman by on Unsplash or (https://www.pinterest.com/pin/566890671867161443/),bry-sparkman-LNZcsFkRfJM-unsplash_Change_the_white_balloon_to_a_red_balloon.jpg,Neutral
cairn-2806850_640-pixabay.com.jpg,convert the stone on the left of the bird to autumn leaves,Photo of autumn leaves,https://pixabay.com/photos/cairn-stones-stone-on-stone-hike-2806850/,cairn-2806850_640-pixabay.com_convert_the_stone_on_the_left_of_the_bird_to_autumn_leaves.jpg,Relative Direction
cairn-7428729_64-pixabay.com.jpg,add a lamp on the top of the cairn stones,Photo of a lamp,https://pixabay.com/photos/cairn-rock-cairn-stone-cairn-7428729/,cairn-7428729_64-pixabay.com_add_a_lamp_on_the_top_of_the_cairn_stones.jpg,Relative Direction
caroline-badran-pXYiB9OIgp0-unsplash.jpg,Color the chair on the left of the sofa red,Photo of a red chair,https://unsplash.com/photos/modern-kitchen-and-dining-area-with-person-walking-9Bh5YYZMGv0,caroline-badran-pXYiB9OIgp0-unsplash_Color_the_chair_on_the_left_of_the_sofa_red.jpg,Relative Direction
celine-chamiot-poncet--W5lbMU5Dak-unsplash.jpg,make them pandas,Photo of pandas,https://unsplash.com/photos/brown-bear-on-gray-rock--W5lbMU5Dak,celine-chamiot-poncet--W5lbMU5Dak-unsplash_make_them_pandas.jpg,Pronoun
cholong-choi-bTS7qQpoPGo-unsplash.jpg,Color the bottle on the left to blue,Photo of a blue bottle,https://unsplash.com/photos/bottles-on-newspaper-bTS7qQpoPGo,cholong-choi-bTS7qQpoPGo-unsplash_Color_the_bottle_on_the_left_to_blue.jpg,Absolute Direction
choong-deng-xiang-WR98S28oRLM-unsplash.jpg,color the gem on the right side of the blue gem to red,Photo of a red gem,https://unsplash.com/photos/three-different-colored-diamonds-on-a-black-background-WR98S28oRLM,choong-deng-xiang-WR98S28oRLM-unsplash_color_the_gem_on_the_right_side_of_the_blue_gem_to_red.jpg,Relative Direction
christie-greene-6TX6kcEbOhU-unsplash.jpg,make them zebras,Photo of zebras,https://unsplash.com/photos/three-brown-horses-stand-in-a-grassy-field-6TX6kcEbOhU,christie-greene-6TX6kcEbOhU-unsplash_make_them_zebras.jpg,Pronoun
christophe-maertens-GzubV-g6q4Q-unsplash.jpg,Change the tree on the right to a big cactus,Photo of a big cactus,https://unsplash.com/de/fotos/mann-zu-fuss-auf-der-strasse-zwischen-felsformationsbergen-GzubV-g6q4Q,christophe-maertens-GzubV-g6q4Q-unsplash_Change_the_tree_on_the_right_to_a_big_cactus.jpg,Absolute Direction
cinematic-imagery-hFRK_XcfcRY-unsplash.jpg,Change the knife on the left to a silver knife,Photo of a silver knife,https://unsplash.com/photos/a-place-setting-with-silverware-and-place-cards-hFRK_XcfcRY,cinematic-imagery-hFRK_XcfcRY-unsplash_Change_the_knife_on_the_left_to_a_silver_knife.jpg,Absolute Direction
cinematic-imagery-hFRK_XcfcRY-unsplash.jpg,Swap the knife on the right for a fountain pen.,Photo of a fountain pen,https://unsplash.com/photos/a-place-setting-with-silverware-and-place-cards-hFRK_XcfcRY,cinematic-imagery-hFRK_XcfcRY-unsplash_Swap_the_knife_on_the_right_for_a_fountain_pen.jpg,Absolute Direction
clay-banks-_TuOhqIDwc8-unsplash.jpg,make the sofa on the right red,Photo of a red sofa,https://unsplash.com/photos/a-living-room-filled-with-furniture-and-a-fire-place-_TuOhqIDwc8,clay-banks-_TuOhqIDwc8-unsplash_make_the_sofa_on_the_right_red.jpg,Absolute Direction
clay-banks-nTqR3B3dp-Q-unsplash.jpg,Make the countertop on the right out of wood,Photo of a wooden countertop,https://unsplash.com/photos/bright-modern-kitchen-with-white-cabinets-and-stainless-steel-appliances-nTqR3B3dp-Q,clay-banks-nTqR3B3dp-Q-unsplash_Make_the_countertop_on_the_right_out_of_wood.jpg,Absolute Direction
clay-banks-Ph2AIj8vOwo-unsplash.jpg,Replace the bed on the left with a floral bed,Photo of a floral bed,https://unsplash.com/photos/two-beds-in-a-rustic-bedroom-with-windows-Ph2AIj8vOwo,clay-banks-Ph2AIj8vOwo-unsplash_Replace_the_bed_on_the_left_with_a_floral_bed.jpg,Absolute Direction
clay-banks-VGgmG8Se47M-unsplash.jpg,Replace the vase on the bottom of the shelf with a red ball,Photo of a red ball,https://unsplash.com/photos/cozy-bedroom-with-armchair-shelving-and-beds-VGgmG8Se47M,clay-banks-VGgmG8Se47M-unsplash_Replace_the_vase_on_the_bottom_of_the_shelf_with_a_red_ball.jpg,Relative Direction
colins-chakma-HTEbX9bdrEU-unsplash.jpg,make them teddy bears,Photo of teddy bears,https://unsplash.com/photos/HTEbX9bdrEU,colins-chakma-HTEbX9bdrEU-unsplash_make_them_teddy_bears.jpg,Pronoun
dani-adkins-ipDy5CYMLLQ-unsplash.jpg,make them black,Photo of them in black color,https://unsplash.com/photos/a-couple-of-chickens-standing-next-to-each-other-ipDy5CYMLLQ,dani-adkins-ipDy5CYMLLQ-unsplash_make_them_black.jpg,Pronoun
daniel-eriksson-jxHAt3eHUX4-unsplash.jpg,Give him a long beard.,Photo of him with beard,https://unsplash.com/photos/a-man-and-woman-holding-a-baby-jxHAt3eHUX4,daniel-eriksson-jxHAt3eHUX4-unsplash_Give_him_a_long_beard.jpg,Pronoun
daniel-olah-qG_YrnZq0A8-unsplash.jpg,Add an airplane on the left of the tree,Photo of an airplane,https://unsplash.com/photos/tree-and-dirt-road-at-golden-hour-qG_YrnZq0A8,daniel-olah-qG_YrnZq0A8-unsplash_Add_an_airplane_on_the_left_of_the_tree.jpg,Relative Direction
david-veksler-7dkzfd4yors-unsplash.jpg,Make her blonde.,Photo of blonde her,https://unsplash.com/photos/woman-in-black-long-sleeve-shirt-sitting-beside-woman-in-black-long-sleeve-shirt-7dkzfd4yors,david-veksler-7dkzfd4yors-unsplash_Make_her_blonde.jpg,Pronoun
debby-hudson-tV_71satThU-unsplash.jpg,Place a lemon on the right side of the cutting board.,Photo of a lemon,https://unsplash.com/photos/yellow-pasta-on-brown-wooden-chopping-board-tV_71satThU,debby-hudson-tV_71satThU-unsplash_Place_a_lemon_on_the_right_side_of_the_cutting_board.jpg,Relative Direction
denisa-zamfir-08gr7hEhk1U-unsplash.jpg,Change the apple on the right to a rose,Photo of a rose,https://unsplash.com/it/foto/torta-rotonda-marrone-e-bianca-su-tessuto-nero-08gr7hEhk1U,denisa-zamfir-08gr7hEhk1U-unsplash_Change_the_apple_on_the_bottom_to_a_peach.jpg,Absolute Direction
denisa-zamfir-08gr7hEhk1U-unsplash.jpg,Change the apple on the bottom to a peach,Photo of a peach,https://unsplash.com/it/foto/torta-rotonda-marrone-e-bianca-su-tessuto-nero-08gr7hEhk1U,denisa-zamfir-08gr7hEhk1U-unsplash_Change_the_apple_on_the_right_to_a_rose.jpg,Absolute Direction
dennis-yu-EQ_DW72NkYU-unsplash.jpg,Turn them into lizards,Photo of lizards,https://unsplash.com/photos/a-group-of-people-climbing-up-the-side-of-a-mountain-EQ_DW72NkYU,dennis-yu-EQ_DW72NkYU-unsplash_Turn_them_into_lizards.jpg,Pronoun
denys-striyeshyn-wJ7yGwz2-00-unsplash.jpg,Put a potted plant on the right side of the lamp,Photo of a potted plant,https://unsplash.com/photos/brown-wooden-table-and-chairs-wJ7yGwz2-00,denys-striyeshyn-wJ7yGwz2-00-unsplash_Put_a_potted_plant_on_the_right_side_of_the_lamp.jpg,Relative Direction
digital-reach-PZRbaRHk2RI-unsplash.jpg,make her clothes red,Photo of her with red clothes,https://unsplash.com/de/fotos/cowboys-und-cowgirls-auf-pferden-bei-einem-rodeo-event-PZRbaRHk2RI,digital-reach-PZRbaRHk2RI-unsplash_make_her_clothes_red.jpg,Pronoun
doan-anh-nNYbVCS-YQ8-unsplash.jpg,Replace the painting on the right with a mirror.,Photo of a mirror,https://unsplash.com/photos/brown-lioness-on-brown-rock-during-daytime-NWwv0ETyzxc,doan-anh-nNYbVCS-YQ8-unsplash_Replace_the_painting_on_the_right_with_a_mirror.jpg,Absolute Direction
ecemwashere-TWr4iGjTlas-unsplash.jpg,Convert the stool at the left side of Choplin to a metal stool,Photo of a metal stool,https://unsplash.com/photos/grayscale-photo-of-man-in-black-jacket-sitting-on-chair-TWr4iGjTlas,ecemwashere-TWr4iGjTlas-unsplash_Convert_the_stool_at_the_left_side_of_Choplin_to_a_metal_stool.jpg,Relative Direction
fabio-romano-FEFmNimTwPo-unsplash.jpg,Swap the bikes beneath the lamp post for a motorcycle.,Photo of a motorcycle,https://unsplash.com/id/foto/seorang-pria-mengendarai-sepeda-di-jalan-di-sebelah-gedung-gedung-tinggi-FEFmNimTwPo,fabio-romano-FEFmNimTwPo-unsplash_Swap_the_bikes_beneath_the_lamp_post_for_a_motorcycle.jpg,Relative Direction
fabrice-villard-Du41jIaI5Ww-unsplash.jpg,add a dark cottage on the left side of the tree,Photo of a dark cottage,https://unsplash.com/photos/withered-tree-surrounded-with-snow-during-daytime-Du41jIaI5Ww,fabrice-villard-Du41jIaI5Ww-unsplash_add_a_dark_cottage_on_the_left_side_of_the_tree.jpg,Relative Direction
fineas-anton-sWUc_75LaMo-unsplash.jpg,Turn the potted plants on the left of the brick wall into pumpkins.,Photo of pumpkins,https://unsplash.com/photos/white-and-brown-wooden-house-beside-picnic-table-with-green-leaf-plants-sWUc_75LaMo,fineas-anton-sWUc_75LaMo-unsplash_Turn_the_potted_plants_on_the_left_of_the_brick_wall_into_pumpkins.jpg,Relative Direction
florian-muller-o1hsA6Valfo-unsplash.jpg,Place a rhinoceros to the bottom of the nest,Photo of a rhinoceros,https://unsplash.com/photos/a-lonely-tree-stands-in-a-dry-field-o1hsA6Valfo,florian-muller-o1hsA6Valfo-unsplash_Place_a_rhinoceros_to_the_bottom_of_the_nest.jpg,Relative Direction
florin-beudean-gGG7NHbzeGg-unsplash.jpg,turn them into 3 deer,Photo of 3 deer,https://unsplash.com/photos/three-brown-and-black-horses-running-in-open-green-field-at-daytime-gGG7NHbzeGg,florin-beudean-gGG7NHbzeGg-unsplash_turn_them_into_3_deer.jpg,Pronoun
flyd-QGEk0C6ZDhM-unsplash.jpg,paint the top pumpkin pink,Photo of pink pumpkin,https://unsplash.com/fr/photos/un-couple-de-citrouilles-assis-sur-une-table-QGEk0C6ZDhM,flyd-QGEk0C6ZDhM-unsplash_paint_the_top_pumpkin_pink.jpg,Absolute Direction
francesco-la-corte-VZzDj4Z-4EI-unsplash.jpg,Fill the plate on the top to with soup.,Photo of a soup plate,https://unsplash.com/photos/a-wooden-table-topped-with-plates-and-bowls-of-food-VZzDj4Z-4EI,francesco-la-corte-VZzDj4Z-4EI-unsplash_Fill_the_plate_on_the_top_to_with_soup.jpg,Absolute Direction
frances-gunn-uPiLbyLBlko-unsplash.jpg,Put boots on the person on the left,Photo of a preson with boots,https://unsplash.com/photos/two-women-walking-in-front-of-trees-uPiLbyLBlko,frances-gunn-uPiLbyLBlko-unsplash_Put_boots_on_the_person_on_the_left.jpg,Absolute Direction
gary-bendig-WPmPsdX2ySw-unsplash.jpg,convert them into storks,Photo of storks,https://unsplash.com/photos/gray-and-black-mallard-ducks-flying-during-day-time-WPmPsdX2ySw,gary-bendig-WPmPsdX2ySw-unsplash_convert_them_into_storks.jpg,Pronoun
